,hscode,volume,eight_bits
2440,10063091001,1,10063091
2441,10063091001,1,10063091
2442,10063099001,20907,10063099
2443,10063030003,1700,10063030
2444,10063030003,1700,10063030
2445,10064090003,700,10064090
2446,10064090003,40,10064090
2447,10063030003,300,10063030
2448,10063030003,120,10063030
2449,10062010001,120,10062010
2450,10063040001,20593,10063040
2451,10063040001,20702,10063040
2452,10063040001,20702,10063040
2453,10063040001,20593,10063040
2454,10063099012,520000,10063099
2455,10063099012,520000,10063099
2456,10063099012,520000,10063099
2457,10063040001,10350,10063040
2458,10062090612,400,10062090
2459,15119039000,1680,15119039
2460,10063099012,390000,10063099
2461,10064090012,5200,10064090
2462,10063040001,19295,10063040
2463,10063099001,40,10063099
2464,10062090618,120,10062090
2465,10062010500,80,10062010
2466,10063040500,80,10063040
2467,10062010001,40,10062010
2468,10062090605,40,10062090
2469,10062090615,40,10062090
2470,10062090631,40,10062090
2471,10063099001,150,10063099
2472,10063099001,700,10063099
2473,10063040001,875,10063040
2474,10064090005,21316,10064090
2475,10063030003,2610,10063030
2476,10063099010,23333,10063099
2477,10063099010,6300,10063099
2478,10063099007,60,10063099
2479,10063091001,2000,10063091
2480,10063040001,3000,10063040
2481,10063040001,17300,10063040
2482,10063040001,1000,10063040
2483,10063030003,60,10063030
2484,10063091001,2650,10063091
2485,10063099001,850,10063099
2486,10063040001,4320,10063040
2487,10063040001,1680,10063040
2488,10063040001,1800,10063040
2489,10063040001,5520,10063040
2490,10063099001,7875,10063099
2491,10063040001,1400,10063040
2492,10063030003,300,10063030
2493,10063040001,1700,10063040
2494,10063040001,1380,10063040
2495,10063040001,920,10063040
2496,10063040001,550,10063040
2497,10063040001,300,10063040
2498,10063030003,100,10063030
2499,10063030003,100,10063030
2500,10063040001,400,10063040
2501,10063040001,800,10063040
2502,10063030003,50,10063030
2503,10063099001,1,10063099
2504,10063030003,90,10063030
2505,10062090619,40,10062090
2506,10063099010,80,10063099
2507,10063099010,150,10063099
2508,10063099010,130,10063099
2509,10063099010,260,10063099
2510,10063099012,20800,10063099
2511,10063099012,3120,10063099
2512,10063040001,275,10063040
2513,10063040001,1700,10063040
2514,10063040001,3375,10063040
2515,10063030003,640,10063030
2516,10063099090,1,10063099
2517,10063099090,1,10063099
2518,10063099090,6,10063099
2519,10063099090,1,10063099
2520,10063099090,1,10063099
2521,10063099090,1,10063099
2522,10063099090,1,10063099
2523,10063099012,39668,10063099
2524,10063040001,320,10063040
2525,10063030003,320,10063030
2526,10063091001,1000,10063091
2527,10063091001,1400,10063091
2528,10063091001,499,10063091
2529,10063091001,100,10063091
2530,10063099012,10600,10063099
