undefined,declaration_type,year_in_yy,month,running_no,item_no,origin_country_code,destination_country_code,transportation,tax_id,company_branch,customs_coordinates,product_statistic_code,product_statistic_code_unit,privilege_code,duty_rate_by_percent,duty_rate_by_condition,is_a_net_transaction_brought_back,use_the_rights_to_promote_investment,use_the_rights_bonded_warehouse,exercising_the_right_to_claim_duty_under_section_19_bis,use_the_right_reimport_reexport,use_the_right_freezone,use_the_right_epz,multiple_boat_declaration_approval_lists_or_claim_duty_compensation,import_or_export_date,payment_place_code,payment_number,payment_date,release_location_code,release_date,pickup_location_code,pickup_date,making_year,making_month,weigth,volume,value_in_baht,value_in_other_currency,currency_code,duty,vat,excise_tax,fee,ministry_of_commerce_fee,interior_tax,other_tax,excise_coordinate,excise_tax_by_percent,excise_tax_by_condition,import_or_export_customs_set,hscode
A029,1,63,01,14671,0002,SG,SG,1,    0105525038021,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,Y,N,N,N,N,20200218,2801,000000,20200129,2836,20200203,2801,20200205,2563,01,00000000010000,00000000000400,0000000000354281,0000000000011835,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,14671,0003,SG,SG,1,    0105525038021,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200218,2801,000000,20200129,2836,20200203,2801,20200205,2563,01,00000000021983,00000000000445,0000000000798287,0000000000026667,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,15062,0001,MY,MY,1,    0665558000311,0000,000010063099,012,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200218,0111,000000,20200129,0111,20200131,0111,20200204,2563,01,00000000506000,00000000010120,0000000006407206,0000000000214038,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099012
A029,1,63,01,15073,0001,MY,MY,1,    0665558000311,0000,000010063099,012,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200218,0111,000000,20200129,0111,20200131,0111,20200204,2563,01,00000000414000,00000000008280,0000000005242260,0000000000175122,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099012
A029,1,63,01,15082,0001,MY,MY,1,    0665558000311,0000,000010063099,012,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200218,0111,000000,20200129,0111,20200130,0111,20200204,2563,01,00000000207000,00000000004140,0000000002621130,0000000000087561,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099012
A029,Y,63,01,00157,0022,ES,GB,4,    0105531076923,0000,000010061090,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1194,20200129,1190,20200129,2563,01,00000000000001,00000000000001,0000000000000030,0000000000000001,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010061090001
A029,Y,63,01,00177,0022,SG,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000015,00000000000001,0000000000000389,0000000000000013,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00226,0002,AE,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000001,00000000000001,0000000000000030,0000000000000001,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00230,0002,FR,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000004,00000000000001,0000000000000090,0000000000000003,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00232,0028,US,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000001,00000000000001,0000000000000050,0000000000000050,THB,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00241,0010,JP,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000001,00000000000001,0000000000000848,0000000000000028,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00252,0005,US,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000001,00000000000001,0000000000000031,0000000000000001,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00253,0022,CA,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000012,00000000000001,0000000000000269,0000000000000009,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00257,0016,AO,HK,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200129,1190,000000,20200129,1193,20200129,1190,20200129,2563,01,00000000000000,00000000000001,0000000000000001,0000000000000001,THB,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
